Number,Title,URL,Date
1,Kennesaw State student earns spot in speed climbing for 2024 Olympics in Paris,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-student-earns-spot-in-speed-climbing-for-2024-olympics.php,"August 21, 2023"
2,Fun programs have serious purpose to engage Kennesaw State students,https://www.kennesaw.edu/news/stories/2023/programs-have-purpose-to-engage-kennesaw-state-students.php,"August 16, 2023"
3,Kennesaw State leaders welcome faculty and staff for new academic year,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-leaders-welcome-faculty-and-staff-for-new-year.php,"August 10, 2023"
4,Kennesaw State economic impact climbs to more than $2 billion in 2022,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-economic-impact-climbs-to-2-billion.php,"August 09, 2023"
5,"Kennesaw State program offers community, adventure in the great outdoors",https://www.kennesaw.edu/news/stories/2023/kennesaw-state-program-offers-community-in-great-outdoors.php,"August 08, 2023"
6,NIH grant will help diversify biomedical engineering-related research at Kennesaw State,https://www.kennesaw.edu/news/stories/2023/nih-grant-will-help-diversify-biomedical-engineering-research.php,"August 02, 2023"
7,Kennesaw State benefactor planting seeds for future success,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-benefactor-planting-seeds-for-future-success.php,"July 24, 2023"
8,Kennesaw State student's baseball app among best at Apple coding challenge ,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-students-baseball-app-among-best-at-apple-coding-challenge.php,"July 21, 2023"
9,Kennesaw State nursing major finds success in data science,https://www.kennesaw.edu/news/stories/2023/nursing-major-finds-success-in-data-science.php,"July 17, 2023"
10,Marine Corps group establishes scholarship to help Kennesaw State students reach graduation,https://www.kennesaw.edu/news/stories/2023/marine-corps-group-establishes-scholarship-to-help-kennesaw-state-students-reach-graduation.php,"July 14, 2023"
